Affected Census Tract Number:,Affected Census Tract Name:,EHD Score,Environmental Exposures,Diesel Exhaust PM2.5 Emissions,Ozone Concentration,PM2.5 Concentration,Proximity to Heavy Traffic Roadways,Toxic Releases From Facilities (RSEI model),Environmental Effects,Lead Risk From Housing,Proximity to Hazardous Waste Treatment Storage and Disposal Facilities (TSDFS),Proximity to National Priorities List Facilities (Superfund sites),Proximity to Risk Management Plan (RMP) Facilities,Wastewater Discharge,Socioconomic Factors,ACS: Limited English Proficiency (LEP),No High School Diploma,People of Color (Race/Ethnicity),Population Living in Poverty <=185% of Federal Poverty Level (%),Transportation Expense,Unaffordable Housing (>30% of Income),Unemployed (%),Sensitive Populations,Death from Cardiovascular Disease,Low Birth Weight - Combined (%)
53071808,,10,9,9,7,6,9,5,6,5,7,8,5,,10,9,10,10,10,1,8,10,10,8,10
53071503,Parkland,9,9,9,7,7,8,5,5,5,6,8,3,,9,7,6,9,8,2,9,8,8,6,
53071504,,10,9,9,7,7,8,5,7,9,8,8,3,,9,6,9,7,9,2,10,10,8,10,5
53071704,Parkland,9,9,9,7,6,9,5,6,4,8,9,4,,10,10,10,10,10,1,10,9,4,4,6
53071703,,9,9,9,7,6,9,5,5,3,8,8,4,,9,10,10,10,10,1,10,3,9,10,6
53071707,,10,9,9,7,7,8,5,7,9,7,8,3,,7,2,9,9,7,2,8,7,10,10,8
53071706,,10,8,9,7,6,9,4,6,6,7,9,4,,8,5,6,9,10,1,10,8,10,8,10
53071705,,9,9,9,7,7,9,6,6,7,7,8,4,,10,9,9,9,10,2,10,10,5,7,4
53071602,,9,8,7,7,7,7,7,5,4,8,7,3,,9,8,9,9,9,2,8,9,9,10,7
53071601,,10,9,7,7,10,7,6,5,6,6,7,4,,10,10,10,10,9,2,8,8,9,9,7
53071305,,9,8,7,7,8,7,6,5,7,7,6,4,,8,7,9,6,7,4,6,9,8,5,10
53062802,Tacoma,10,9,9,7,7,8,6,8,8,7,9,7,,8,8,10,9,6,2,7,7,8,9,6
53062801,,10,8,8,6,7,8,6,8,6,8,10,9,,9,6,7,9,10,1,10,10,10,10,10
53021200,,9,8,8,6,5,8,7,9,10,9,10,8,,7,5,8,8,7,1,8,8,8,6,8
53061700,,10,10,10,6,8,10,9,10,9,10,10,10,5,8,4,9,10,8,1,8,9,10,9,9
53062600,,10,10,10,6,8,10,8,8,7,8,10,7,1,9,8,9,10,8,1,10,8,10,10,9
53062900,,10,10,9,7,7,10,6,8,9,8,9,7,,7,8,9,9,8,1,7,1,9,8,9
53063000,,9,9,9,7,7,10,5,8,10,7,9,6,,9,9,10,9,8,2,9,6,3,4,5
53061300,,10,10,10,6,8,8,7,10,10,9,10,10,5,9,6,7,9,9,1,10,10,9,9,7
53061400,,10,10,10,5,8,9,7,10,10,10,10,10,6,10,6,9,10,10,1,10,10,10,10,10
53061800,,10,10,10,7,10,10,7,9,10,10,10,9,,7,5,7,9,4,1,9,8,6,4,8
53062500,,10,10,10,7,10,10,7,9,10,8,10,8,,8,5,7,9,8,2,9,7,6,8,4
53063100,,10,10,8,7,10,10,6,8,9,7,9,5,,10,9,10,9,8,3,8,8,8,7,7
53063501,,10,10,9,7,10,10,5,7,7,7,8,5,,10,10,10,10,9,2,9,5,10,9,10
53063502,,9,9,9,7,7,9,6,6,6,7,8,4,,8,9,9,10,6,3,10,1,8,10,4
53063400,,9,10,7,7,10,8,7,6,8,6,7,4,,9,9,10,9,10,2,10,2,7,9,4
53063200,,10,9,6,7,10,8,6,8,10,8,8,5,,9,8,7,9,8,2,9,7,10,9,9
53061900,,10,10,10,7,10,10,5,10,10,9,10,10,6,9,7,6,9,9,1,10,9,10,10,10
53061602,,10,9,10,5,8,10,5,10,8,10,10,10,6,9,8,7,8,10,1,8,10,10,10,9
53061601,,10,9,10,5,8,9,6,10,10,10,10,10,7,9,8,7,8,10,1,10,10,4,9,1
53060200,,10,10,10,5,8,10,7,10,3,10,10,10,7,10,10,10,9,10,1,8,10,5,10,1
53062000,,10,10,10,7,10,10,6,10,10,9,10,10,6,10,9,10,9,10,1,10,7,8,8,7
53062300,,10,10,6,7,10,9,7,10,10,8,9,9,5,8,10,9,10,7,3,7,3,10,8,10
53063300,,10,9,6,7,10,6,8,7,7,7,8,6,,10,10,10,10,9,3,10,5,10,10,10
53061500,,10,9,10,6,8,7,7,10,10,10,10,10,7,5,5,4,6,8,1,8,6,9,9,7
53940002,,9,10,10,5,9,10,7,9,5,9,8,10,6,7,8,8,8,5,3,6,6,6,4,8
53940003,,9,10,10,7,8,10,8,8,2,9,7,9,7,7,8,6,10,6,2,8,5,3,4,4
53940007,,10,10,10,7,10,10,6,10,9,9,9,10,7,10,9,9,10,9,3,8,9,8,5,10
53940006,,10,10,10,7,10,9,5,8,1,8,8,10,6,10,10,10,10,10,1,9,9,10,10,10
53073405,Puyallup,10,8,7,8,6,7,6,8,6,8,6,6,7,8,6,8,6,8,1,8,10,10,10,9
53073406,,9,8,7,8,5,8,6,8,4,8,6,8,7,4,6,6,5,5,2,8,2,9,10,6
53073301,Sumner,9,8,7,8,5,8,7,9,5,9,5,9,7,8,5,8,6,7,3,10,9,6,8,4
33030312,Federal Way,10,6,8,5,6,5,7,7,2,9,8,10,,8,9,9,8,2,10,10,10,10,10,10
33030308,,10,8,9,4,8,6,8,6,1,9,7,8,,8,9,6,10,5,2,9,8,10,10,8
